Source,CandidatesDownloaded,KeptAfterCleaning,RemovedAsDuplicate,RemovedForQuality,Notes
MET,,,,,
Cleveland Museum of Art,,,,,
Art Institute of Chicago,,,,,
Wikimedia Commons,,,,,
Total,,,,,
