metric,n,left_mean,right_mean,paired_t_p,wilcoxon_p
clipscore,83,0.327971,0.355873,2.99054e-13,1.35994e-14
pickscore,83,19.666942,20.193287,3.81788e-14,6.66349e-12
hpsv2,83,0.163065,0.204350,8.76796e-36,2.50283e-15
style_correct,83,0.554217,0.542169,0.657458,0.654721
edge_consistency,83,0.033983,0.038264,0.000372259,0.0012218
blank_space_iou,83,0.018920,0.005074,0.119775,0.272464
blank_space_ssim,83,0.708705,0.699844,0.102764,4.07371e-05
