Method,FID,KID,CLIPScore,ImageReward,PickScore,HPSv2,LPIPS_Diversity,StructureConsistency,StyleAccuracy,Notes
paper_controlnet_817_seed42,265.88962166375023,0.1841157227754593,0.3413979012564004,nan,19.966505556221467,0.1938814829631024,0.49164437996335775,0.06846330134743289,0.42168674698795183,blank_iou=0.007681170686096715
paper_ip_adapter_only_817_seed42,213.3174668656098,0.10949776321649551,0.3558726163513689,nan,20.19328744727445,0.20435011530496988,0.5332581507393634,0.03826351578705462,0.5421686746987951,blank_iou=0.0050744918557897685
paper_lora_only_817_seed42,261.3572903351551,0.19544309377670288,0.3275294605507908,nan,19.37857924311994,0.13785047416227408,0.3705814158820723,0.0017583289423733536,0.3373493975903614,blank_iou=0.0
paper_lora_only_817_seed52,249.18286047755515,0.17623640596866608,0.3450894287551742,nan,19.853397369384766,0.1468608810240964,0.400400322244828,0.0018125286605554557,0.3373493975903614,blank_iou=0.0
paper_lora_only_817_seed62,309.6587600692237,0.31438544392585754,0.3320372054375798,nan,19.234391177993224,0.12580889966114459,0.3747123343398772,0.0008284866897604841,0.3373493975903614,blank_iou=0.0
paper_ours_817_seed42,164.80566936205582,0.05868205055594444,0.3279709772891309,nan,19.66694238961461,0.16306534732680722,0.47470830781871537,0.03398267038887776,0.5542168674698795,blank_iou=0.018919552786516112
paper_ours_817_seed52,165.48498899592568,0.057095006108284,0.33103991452469883,nan,19.603574178305017,0.16430002235504518,0.4770977201471367,0.0354599196097058,0.5783132530120482,blank_iou=0.00948748012258197
paper_ours_817_seed62,177.18757686579306,0.06845247000455856,0.3273312392005001,nan,19.504173232848387,0.15356886530496988,0.48521850865528765,0.03452256015634262,0.6024096385542169,blank_iou=0.013465662092210317
